"sensor__id","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__sensor_type__id","sensor__pin","id","location__longitude","location__country","location__latitude","location__id","location__altitude","sampling_rate","timestamp","sensordatavalues__value_type","sensordatavalues__id","sensordatavalues__value"
"12910","Nova Fitness","SDS011","14","1","2322240249","6.1200","LU","49.7580","6523","241.1","null","2018-11-17 12:28:03","P1","4941614404","9.10"
"","","","","","","","","","","","","","P2","4941614405","6.63"
"12911","various","DHT22","9","7","2322240265","6.1200","LU","49.7580","6523","241.1","null","2018-11-17 12:28:03","humidity","4941614442","80.80"
"","","","","","","","","","","","","","temperature","4941614440","10.60"
"18342","Nova Fitness","SDS011","14","1","2322241315","6.0820","LU","49.7440","9298","225.6","null","2018-11-17 12:28:19","P1","4941616638","7.40"
"","","","","","","","","","","","","","P2","4941616639","6.60"
"18343","various","DHT22","9","7","2322241336","6.0820","LU","49.7440","9298","225.6","null","2018-11-17 12:28:19","humidity","4941616688","45.20"
"","","","","","","","","","","","","","temperature","4941616687","13.60"
"12760","Nova Fitness","SDS011","14","1","2322241775","6.1140","LU","49.7420","6444","225.5","null","2018-11-17 12:28:25","P1","4941617609","8.03"
"","","","","","","","","","","","","","P2","4941617610","5.90"
"12761","various","DHT22","9","7","2322241800","6.1140","LU","49.7420","6444","225.5","null","2018-11-17 12:28:25","humidity","4941617660","88.30"
"","","","","","","","","","","","","","temperature","4941617659","8.60"
"13112","Nova Fitness","SDS011","14","1","2322242243","6.1000","LU","49.7520","6622","240.9","null","2018-11-17 12:28:32","P1","4941618579","6.20"
"","","","","","","","","","","","","","P2","4941618582","4.10"
"13113","various","DHT22","9","7","2322242280","6.1000","LU","49.7520","6622","240.9","null","2018-11-17 12:28:32","humidity","4941618656","99.90"
"","","","","","","","","","","","","","temperature","4941618655","8.90"
"14247","Nova Fitness","SDS011","14","1","2322243213","6.0040","LU","49.8260","7208","361.3","null","2018-11-17 12:28:44","P1","4941620605","9.83"
"","","","","","","","","","","","","","P2","4941620606","8.53"
"14248","various","DHT22","9","7","2322243253","6.0040","LU","49.8260","7208","361.3","null","2018-11-17 12:28:45","humidity","4941620688","99.90"
"","","","","","","","","","","","","","temperature","4941620687","10.80"
"12699","Nova Fitness","SDS011","14","1","2322243738","6.0600","LU","49.5700","6414","328.9","null","2018-11-17 12:28:52","P1","4941621718","7.33"
"","","","","","","","","","","","","","P2","4941621719","4.03"
"12700","various","DHT22","9","7","2322243772","6.0600","LU","49.5700","6414","328.9","null","2018-11-17 12:28:53","humidity","4941621790","99.90"
"","","","","","","","","","","","","","temperature","4941621789","9.00"
"12114","Nova Fitness","SDS011","14","1","2322243932","6.4180","LU","49.8100","6121","165.9","null","2018-11-17 12:28:55","P1","4941622123","9.57"
"","","","","","","","","","","","","","P2","4941622124","7.53"
"12115","various","DHT22","9","7","2322243982","6.4180","LU","49.8100","6121","165.9","null","2018-11-17 12:28:55","humidity","4941622229","66.50"
"","","","","","","","","","","","","","temperature","4941622228","12.70"
"13281","Nova Fitness","SDS011","14","1","2322244052","6.1160","LU","49.7560","6709","225.2","null","2018-11-17 12:28:56","P1","4941622372","0.00"
"","","","","","","","","","","","","","P2","4941622374","0.00"
"13282","various","DHT22","9","7","2322244083","6.1160","LU","49.7560","6709","225.2","null","2018-11-17 12:28:56","humidity","4941622437","58.30"
"","","","","","","","","","","","","","temperature","4941622436","17.50"
"12886","Nova Fitness","SDS011","14","1","2322245171","6.0940","LU","49.7460","6511","229.9","null","2018-11-17 12:29:11","P1","4941624725","8.13"
"","","","","","","","","","","","","","P2","4941624727","6.68"
"12887","various","DHT22","9","7","2322245195","6.0940","LU","49.7460","6511","229.9","null","2018-11-17 12:29:11","humidity","4941624778","85.40"
"","","","","","","","","","","","","","temperature","4941624776","16.00"
"13120","Nova Fitness","SDS011","14","1","2322246567","6.1980","LU","49.5420","6626","265.7","null","2018-11-17 12:29:33","P1","4941627667","30.37"
"","","","","","","","","","","","","","P2","4941627668","28.57"
"13121","various","DHT22","9","7","2322246680","6.1980","LU","49.5420","6626","265.7","null","2018-11-17 12:29:35","humidity","4941627907","99.90"
"","","","","","","","","","","","","","temperature","4941627906","9.40"
"12008","Nova Fitness","SDS011","14","1","2322247095","6.3620","LU","49.5860","6063","175.8","null","2018-11-17 12:29:42","P1","4941628775","6.03"
"","","","","","","","","","","","","","P2","4941628776","4.50"
"12009","various","DHT22","9","7","2322247131","6.3620","LU","49.5860","6063","175.8","null","2018-11-17 12:29:43","humidity","4941628851","47.70"
"","","","","","","","","","","","","","temperature","4941628850","18.50"
"10817","Nova Fitness","SDS011","14","1","2322247385","6.1160","LU","49.6020","5461","272.2","null","2018-11-17 12:29:47","P1","4941629392","6.90"
"","","","","","","","","","","","","","P2","4941629394","4.73"
"10818","various","DHT22","9","7","2322247433","6.1160","LU","49.6020","5461","272.2","null","2018-11-17 12:29:48","humidity","4941629490","52.60"
"","","","","","","","","","","","","","temperature","4941629489","10.80"
