"sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensor__pin","sensor__id","location__country","location__altitude","location__longitude","location__latitude","location__id","timestamp","sampling_rate","sensordatavalues__value_type","sensordatavalues__value","sensordatavalues__id","id"
"SDS011","Nova Fitness","14","1","13281","LU","225.2","6.1160","49.7560","6709","2018-12-10 22:05:15","null","P1","0.00","5257292519","2472125656"
"","","","","","","","","","","","","P2","0.00","5257292520",""
"DHT22","various","9","7","13282","LU","225.2","6.1160","49.7560","6709","2018-12-10 22:05:16","null","humidity","58.80","5257292578","2472125682"
"","","","","","","","","","","","","temperature","16.90","5257292574",""
"SDS011","Nova Fitness","14","1","12725","LU","244.1","6.1060","49.7540","6427","2018-12-10 22:05:34","null","P1","5.00","5257295365","2472127009"
"","","","","","","","","","","","","P2","2.17","5257295368",""
"DHT22","various","9","7","12726","LU","244.1","6.1060","49.7540","6427","2018-12-10 22:05:34","null","humidity","86.70","5257295436","2472127041"
"","","","","","","","","","","","","temperature","4.60","5257295433",""
"SDS011","Nova Fitness","14","1","9400","LU","287.7","6.1400","49.5920","4740","2018-12-10 22:05:45","null","P1","5.13","5257297157","2472127856"
"","","","","","","","","","","","","P2","2.57","5257297160",""
"DHT22","various","9","7","9401","LU","287.7","6.1400","49.5920","4740","2018-12-10 22:05:45","null","humidity","95.10","5257297212","2472127881"
"","","","","","","","","","","","","temperature","3.00","5257297210",""
"SDS011","Nova Fitness","14","1","12760","LU","225.5","6.1140","49.7420","6444","2018-12-10 22:05:46","null","P1","6.87","5257297254","2472127903"
"","","","","","","","","","","","","P2","3.37","5257297255",""
"DHT22","various","9","7","12761","LU","225.5","6.1140","49.7420","6444","2018-12-10 22:05:46","null","humidity","99.90","5257297316","2472127931"
"","","","","","","","","","","","","temperature","0.90","5257297315",""
"SDS011","Nova Fitness","14","1","12886","LU","229.9","6.0940","49.7460","6511","2018-12-10 22:05:49","null","P1","7.03","5257297874","2472128197"
"","","","","","","","","","","","","P2","2.92","5257297875",""
"DHT22","various","9","7","12887","LU","229.9","6.0940","49.7460","6511","2018-12-10 22:05:50","null","humidity","99.90","5257297950","2472128233"
"","","","","","","","","","","","","temperature","3.20","5257297948",""
"SDS011","Nova Fitness","14","1","13112","LU","240.9","6.1000","49.7520","6622","2018-12-10 22:05:56","null","P1","4.83","5257298858","2472128662"
"","","","","","","","","","","","","P2","2.50","5257298860",""
"DHT22","various","9","7","13113","LU","240.9","6.1000","49.7520","6622","2018-12-10 22:05:56","null","humidity","99.90","5257298928","2472128691"
"","","","","","","","","","","","","temperature","2.70","5257298927",""
"SDS011","Nova Fitness","14","1","7971","LU","240.6","6.1200","49.7580","4031","2018-12-10 22:05:57","null","P1","22.87","5257299139","2472128792"
"","","","","","","","","","","","","P2","14.47","5257299140",""
"DHT22","various","9","7","7972","LU","240.6","6.1200","49.7580","4031","2018-12-10 22:05:57","null","humidity","99.90","5257299241","2472128839"
"","","","","","","","","","","","","temperature","0.40","5257299240",""
