"id","sensordatavalues__id","sensordatavalues__value","sensordatavalues__value_type","timestamp","sampling_rate","sensor__pin","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensor__sensor_type__name","sensor__id","location__latitude","location__id","location__altitude","location__longitude","location__country"
"","5030296702","3.70","P2","","","","","","","","","","","",""
"2364259726","5030296803","99.90","humidity","2018-11-24 12:50:00","null","7","various","9","DHT22","14248","49.8260","7208","361.3","6.0040","LU"
"","5030296802","6.90","temperature","","","","","","","","","","","",""
"2364261467","5030300444","0.00","P1","2018-11-24 12:50:15","null","1","Nova Fitness","14","SDS011","13281","49.7560","6709","225.2","6.1160","LU"
"","5030300445","0.00","P2","","","","","","","","","","","",""
"2364261514","5030300545","56.00","humidity","2018-11-24 12:50:15","null","7","various","9","DHT22","13282","49.7560","6709","225.2","6.1160","LU"
"","5030300542","17.20","temperature","","","","","","","","","","","",""
"2364261525","5030300568","3.20","P1","2018-11-24 12:50:16","null","1","Nova Fitness","14","SDS011","12886","49.7460","6511","229.9","6.0940","LU"
"","5030300573","1.93","P2","","","","","","","","","","","",""
"2364261586","5030300700","99.90","humidity","2018-11-24 12:50:16","null","7","various","9","DHT22","12887","49.7460","6511","229.9","6.0940","LU"
"","5030300698","8.10","temperature","","","","","","","","","","","",""
"2364264873","5030307685","1.53","P1","2018-11-24 12:50:56","null","1","Nova Fitness","14","SDS011","10817","49.6020","5461","272.2","6.1160","LU"
"","5030307686","1.37","P2","","","","","","","","","","","",""
"2364264920","5030307786","99.90","humidity","2018-11-24 12:50:56","null","7","various","9","DHT22","10818","49.6020","5461","272.2","6.1160","LU"
"","5030307785","9.30","temperature","","","","","","","","","","","",""
