"sampling_rate","sensordatavalues__value","sensordatavalues__value_type","sensordatavalues__id","timestamp","sensor__pin","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensor__sensor_type__name","sensor__id","location__latitude","location__id","location__altitude","location__longitude","location__country","id"
"","1.40","P2","4857487640","","","","","","","","","","","",""
"null","99.90","humidity","4857487816","2018-11-11 12:40:28","7","various","9","DHT22","7972","49.7580","4031","240.6","6.1200","LU","2282227472"
"","12.40","temperature","4857487815","","","","","","","","","","","",""
"null","6.97","P1","4857489378","2018-11-11 12:40:34","1","Nova Fitness","14","SDS011","12910","49.7580","6523","241.1","6.1200","LU","2282228214"
"","2.00","P2","4857489379","","","","","","","","","","","",""
"null","99.90","humidity","4857489463","2018-11-11 12:40:34","7","various","9","DHT22","12911","49.7580","6523","241.1","6.1200","LU","2282228254"
"","12.20","temperature","4857489462","","","","","","","","","","","",""
"null","4.15","P1","4857490176","2018-11-11 12:40:38","1","Nova Fitness","14","SDS011","16703","49.8580","8468","201.1","6.1140","LU","2282228595"
"","1.60","P2","4857490177","","","","","","","","","","","",""
"null","3.20","P1","4857492457","2018-11-11 12:40:50","1","Nova Fitness","14","SDS011","12008","49.5860","6063","175.8","6.3620","LU","2282229682"
"","1.37","P2","4857492458","","","","","","","","","","","",""
"null","5.37","P1","4857492561","2018-11-11 12:40:51","1","Nova Fitness","14","SDS011","12760","49.7420","6444","225.5","6.1140","LU","2282229733"
"","2.30","P2","4857492563","","","","","","","","","","","",""
"null","99.90","humidity","4857492592","2018-11-11 12:40:51","7","various","9","DHT22","12009","49.5860","6063","175.8","6.3620","LU","2282229747"
"","13.40","temperature","4857492591","","","","","","","","","","","",""
"null","99.90","humidity","4857492623","2018-11-11 12:40:51","7","various","9","DHT22","12761","49.7420","6444","225.5","6.1140","LU","2282229761"
"","12.40","temperature","4857492622","","","","","","","","","","","",""
"null","3.73","P1","4857493965","2018-11-11 12:41:00","1","Nova Fitness","14","SDS011","13112","49.7520","6622","240.9","6.1000","LU","2282230405"
"","1.30","P2","4857493966","","","","","","","","","","","",""
"null","99.90","humidity","4857494007","2018-11-11 12:41:01","7","various","9","DHT22","13113","49.7520","6622","240.9","6.1000","LU","2282230425"
"","12.60","temperature","4857494006","","","","","","","","","","","",""
