"location__latitude","location__id","location__country","location__longitude","location__altitude","timestamp","id","sampling_rate","sensordatavalues__value_type","sensordatavalues__id","sensordatavalues__value","sensor__id","sensor__sensor_type__id","sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__pin"
"49.5860","6063","LU","6.3620","175.8","2018-11-30 12:52:06","2404392615","null","humidity","5114714720","99.90","12009","9","DHT22","various","7"
"","","","","","","","","temperature","5114714719","11.90","","","","",""
"49.7560","6728","LU","6.1280","303.6","2018-11-30 12:52:10","2404392823","null","P1","5114715147","1999.9","13317","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114715146","999.9","","","","",""
"49.7560","6728","LU","6.1280","303.6","2018-11-30 12:52:10","2404392845","null","humidity","5114715193","87.0","13318","17","BME280","Bosch","11"
"","","","","","","","","pressure","5114715191","0","","","","",""
"","","","","","","","","temperature","5114715192","10.9","","","","",""
"","","","","","","","","pressure_at_sealevel","","0","","","","",""
"49.5920","4740","LU","6.1400","287.7","2018-11-30 12:52:14","2404393062","null","P1","5114715666","5.70","9400","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114715667","3.00","","","","",""
"49.5920","4740","LU","6.1400","287.7","2018-11-30 12:52:15","2404393112","null","humidity","5114715771","92.40","9401","9","DHT22","various","7"
"","","","","","","","","temperature","5114715770","10.20","","","","",""
"49.7460","6511","LU","6.0940","229.9","2018-11-30 12:52:16","2404393181","null","P1","5114715915","10.80","12886","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114715916","2.60","","","","",""
"49.7460","6511","LU","6.0940","229.9","2018-11-30 12:52:16","2404393213","null","humidity","5114715983","99.90","12887","9","DHT22","various","7"
"","","","","","","","","temperature","5114715982","10.60","","","","",""
"49.7520","6622","LU","6.1000","240.9","2018-11-30 12:52:20","2404393427","null","P1","5114716419","5.60","13112","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114716420","1.87","","","","",""
"49.7520","6622","LU","6.1000","240.9","2018-11-30 12:52:20","2404393452","null","humidity","5114716472","99.90","13113","9","DHT22","various","7"
"","","","","","","","","temperature","5114716471","10.80","","","","",""
"49.7520","6994","LU","6.0940","231.8","2018-11-30 12:52:23","2404393651","null","P1","5114716884","6.32","13847","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114716886","2.00","","","","",""
"49.7520","6994","LU","6.0940","231.8","2018-11-30 12:52:24","2404393681","null","humidity","5114716949","96.10","13848","9","DHT22","various","7"
"","","","","","","","","temperature","5114716948","12.40","","","","",""
"49.8580","8468","LU","6.1140","201.1","2018-11-30 12:52:39","2404395003","null","P1","5114719712","1.52","16703","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114719715","1.05","","","","",""
"49.8260","7208","LU","6.0040","361.3","2018-11-30 12:52:40","2404395277","null","P1","5114720285","9.30","14247","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114720288","2.57","","","","",""
"49.8260","7208","LU","6.0040","361.3","2018-11-30 12:52:43","2404395702","null","humidity","5114721165","99.90","14248","9","DHT22","various","7"
"","","","","","","","","temperature","5114721159","9.70","","","","",""
"49.7580","6523","LU","6.1200","241.1","2018-11-30 12:52:47","2404396510","null","P1","5114722851","11.57","12910","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114722852","3.47","","","","",""
"49.7580","4031","LU","6.1200","240.6","2018-11-30 12:52:47","2404396539","null","P1","5114722913","9.00","7971","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114722915","2.77","","","","",""
"49.7580","6523","LU","6.1200","241.1","2018-11-30 12:52:47","2404396597","null","humidity","5114723038","99.90","12911","9","DHT22","various","7"
"","","","","","","","","temperature","5114723037","10.50","","","","",""
"49.7580","4031","LU","6.1200","240.6","2018-11-30 12:52:49","2404396960","null","humidity","5114723797","99.90","7972","9","DHT22","various","7"
"","","","","","","","","temperature","5114723795","11.00","","","","",""
