"sensor__pin","sensor__id","sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensordatavalues__value_type","sensordatavalues__id","sensordatavalues__value","timestamp","id","location__latitude","location__country","location__id","location__longitude","location__altitude","sampling_rate"
"7","12887","DHT22","various","9","humidity","5306959909","99.90","2018-12-14 12:10:27","2495718010","49.7460","LU","6511","6.0940","229.9","null"
"","","","","","temperature","5306959908","0.60","","","","","","","",""
"1","12725","SDS011","Nova Fitness","14","P1","5306960010","16.97","2018-12-14 12:10:27","2495718060","49.7540","LU","6427","6.1060","244.1","null"
"","","","","","P2","5306960011","7.60","","","","","","","",""
"1","12699","SDS011","Nova Fitness","14","P1","5306960056","12.13","2018-12-14 12:10:27","2495718084","49.5700","LU","6414","6.0600","328.9","null"
"","","","","","P2","5306960058","5.67","","","","","","","",""
"7","12726","DHT22","various","9","humidity","5306960123","67.20","2018-12-14 12:10:28","2495718113","49.7540","LU","6427","6.1060","244.1","null"
"","","","","","temperature","5306960117","2.30","","","","","","","",""
"7","12700","DHT22","various","9","humidity","5306960138","99.90","2018-12-14 12:10:28","2495718123","49.5700","LU","6414","6.0600","328.9","null"
"","","","","","temperature","5306960137","0.20","","","","","","","",""
"1","18342","SDS011","Nova Fitness","14","P1","5306960161","15.35","2018-12-14 12:10:28","2495718134","49.7440","LU","9298","6.0820","225.6","null"
"","","","","","P2","5306960162","9.85","","","","","","","",""
"7","18343","DHT22","various","9","humidity","5306960228","99.90","2018-12-14 12:10:28","2495718167","49.7440","LU","9298","6.0820","225.6","null"
"","","","","","temperature","5306960226","1.00","","","","","","","",""
"7","10818","DHT22","various","9","humidity","5306960714","67.40","2018-12-14 12:10:32","2495718398","49.6020","LU","5461","6.1160","272.2","null"
"","","","","","temperature","5306960713","2.10","","","","","","","",""
"1","12910","SDS011","Nova Fitness","14","P1","5306964860","13.07","2018-12-14 12:10:55","2495720373","49.7580","LU","6523","6.1200","241.1","null"
"","","","","","P2","5306964861","7.00","","","","","","","",""
"7","12911","DHT22","various","9","humidity","5306964933","99.90","2018-12-14 12:10:55","2495720407","49.7580","LU","6523","6.1200","241.1","null"
"","","","","","temperature","5306964932","0.20","","","","","","","",""
