"sensordatavalues__value_type","sensordatavalues__value","sensordatavalues__id","timestamp","sampling_rate","id","sensor__pin","sensor__sensor_type__id","sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__id","location__id","location__altitude","location__longitude","location__country","location__latitude"
"humidity","93.40","5073696935","2018-11-27 15:19:38","null","2384888787","7","9","DHT22","various","18343","9298","225.6","6.0820","LU","49.7440"
"temperature","6.60","5073696934","","","","","","","","","","","","",""
"P1","20.80","5073697604","2018-11-27 15:19:43","null","2384889102","1","14","SDS011","Nova Fitness","9400","4740","287.7","6.1400","LU","49.5920"
"P2","15.60","5073697605","","","","","","","","","","","","",""
"humidity","84.00","5073697715","2018-11-27 15:19:44","null","2384889156","7","9","DHT22","various","9401","4740","287.7","6.1400","LU","49.5920"
"temperature","5.60","5073697714","","","","","","","","","","","","",""
"P1","18.43","5073699402","2018-11-27 15:20:00","null","2384889961","1","14","SDS011","Nova Fitness","13112","6622","240.9","6.1000","LU","49.7520"
"P2","10.53","5073699403","","","","","","","","","","","","",""
"humidity","99.90","5073699455","2018-11-27 15:20:00","null","2384889987","7","9","DHT22","various","13113","6622","240.9","6.1000","LU","49.7520"
"temperature","6.30","5073699454","","","","","","","","","","","","",""
"P1","15.95","5073702959","2018-11-27 15:20:15","null","2384891671","1","14","SDS011","Nova Fitness","7971","4031","240.6","6.1200","LU","49.7580"
"P2","9.75","5073702966","","","","","","","","","","","","",""
"P1","31.07","5073703976","2018-11-27 15:20:17","null","2384892156","1","14","SDS011","Nova Fitness","14247","7208","361.3","6.0040","LU","49.8260"
"P2","20.17","5073704025","","","","","","","","","","","","",""
"humidity","99.90","5073704069","2018-11-27 15:20:18","null","2384892199","7","9","DHT22","various","7972","4031","240.6","6.1200","LU","49.7580"
"temperature","5.00","5073704066","","","","","","","","","","","","",""
"humidity","99.90","5073704351","2018-11-27 15:20:18","null","2384892337","7","9","DHT22","various","14248","7208","361.3","6.0040","LU","49.8260"
"temperature","4.30","5073704347","","","","","","","","","","","","",""
"P1","24.97","5073706384","2018-11-27 15:20:24","null","2384893299","1","14","SDS011","Nova Fitness","12910","6523","241.1","6.1200","LU","49.7580"
"P2","12.83","5073706408","","","","","","","","","","","","",""
"humidity","99.90","5073706463","2018-11-27 15:20:24","null","2384893337","7","9","DHT22","various","12911","6523","241.1","6.1200","LU","49.7580"
"temperature","5.00","5073706461","","","","","","","","","","","","",""
"P1","33.53","5073706888","2018-11-27 15:20:26","null","2384893540","1","14","SDS011","Nova Fitness","13120","6626","265.7","6.1980","LU","49.5420"
"P2","30.90","5073706890","","","","","","","","","","","","",""
