"sampling_rate","id","sensordatavalues__id","sensordatavalues__value","sensordatavalues__value_type","location__country","location__latitude","location__altitude","location__longitude","location__id","timestamp","sensor__sensor_type__id","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__id","sensor__pin"
"null","2352346082","5005201188","34.27","P1","LU","49.7540","244.1","6.1060","6427","2018-11-22 16:39:33","14","Nova Fitness","SDS011","12725","1"
"","","5005201190","16.70","P2","","","","","","","","","","",""
"null","2352346108","5005201240","79.70","humidity","LU","49.7540","244.1","6.1060","6427","2018-11-22 16:39:33","9","various","DHT22","12726","7"
"","","5005201239","5.30","temperature","","","","","","","","","","",""
"null","2352346709","5005202491","41.90","P1","LU","49.7420","225.5","6.1140","6444","2018-11-22 16:39:46","14","Nova Fitness","SDS011","12760","1"
"","","5005202492","18.53","P2","","","","","","","","","","",""
"null","2352346727","5005202528","99.90","humidity","LU","49.7420","225.5","6.1140","6444","2018-11-22 16:39:46","9","various","DHT22","12761","7"
"","","5005202527","0.70","temperature","","","","","","","","","","",""
"null","2352346818","5005202724","28.92","P1","LU","49.7520","231.8","6.0940","6994","2018-11-22 16:39:48","14","Nova Fitness","SDS011","13847","1"
"","","5005202726","17.12","P2","","","","","","","","","","",""
"null","2352346841","5005202774","96.40","humidity","LU","49.7520","231.8","6.0940","6994","2018-11-22 16:39:48","9","various","DHT22","13848","7"
"","","5005202773","2.70","temperature","","","","","","","","","","",""
"null","2352347359","5005203867","26.40","P1","LU","49.7580","241.1","6.1200","6523","2018-11-22 16:39:59","14","Nova Fitness","SDS011","12910","1"
"","","5005203868","16.43","P2","","","","","","","","","","",""
"null","2352347375","5005203901","99.90","humidity","LU","49.7580","241.1","6.1200","6523","2018-11-22 16:39:59","9","various","DHT22","12911","7"
"","","5005203900","1.50","temperature","","","","","","","","","","",""
"null","2352347447","5005204052","26.00","P1","LU","49.5920","287.7","6.1400","4740","2018-11-22 16:40:00","14","Nova Fitness","SDS011","9400","1"
"","","5005204053","19.83","P2","","","","","","","","","","",""
"null","2352347495","5005204154","76.80","humidity","LU","49.5920","287.7","6.1400","4740","2018-11-22 16:40:01","9","various","DHT22","9401","7"
"","","5005204152","4.20","temperature","","","","","","","","","","",""
