"sampling_rate","timestamp","location__latitude","location__altitude","location__country","location__longitude","location__id","sensor__sensor_type__id","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__pin","sensor__id","id","sensordatavalues__value","sensordatavalues__id","sensordatavalues__value_type"
"null","2018-11-09 13:47:31","49.7520","240.9","LU","6.1000","6622","14","Nova Fitness","SDS011","1","13112","2269284759","7.67","4830270553","P1"
"","","","","","","","","","","","","","5.10","4830270554","P2"
"null","2018-11-09 13:47:31","49.7520","240.9","LU","6.1000","6622","9","various","DHT22","7","13113","2269284767","99.90","4830270570","humidity"
"","","","","","","","","","","","","","13.50","4830270569","temperature"
"null","2018-11-09 13:47:40","49.8100","165.9","LU","6.4180","6121","14","Nova Fitness","SDS011","1","12114","2269285714","7.20","4830272550","P1"
"","","","","","","","","","","","","","6.40","4830272552","P2"
"null","2018-11-09 13:47:41","49.8100","165.9","LU","6.4180","6121","9","various","DHT22","7","12115","2269285820","99.90","4830272767","humidity"
"","","","","","","","","","","","","","15.50","4830272766","temperature"
"null","2018-11-09 13:47:52","49.7540","244.1","LU","6.1060","6427","14","Nova Fitness","SDS011","1","12725","2269287323","10.53","4830275921","P1"
"","","","","","","","","","","","","","6.00","4830275923","P2"
"null","2018-11-09 13:47:52","49.7540","244.1","LU","6.1060","6427","9","various","DHT22","7","12726","2269287351","76.00","4830275980","humidity"
"","","","","","","","","","","","","","14.70","4830275979","temperature"
"null","2018-11-09 13:47:55","49.7580","240.6","LU","6.1200","4031","14","Nova Fitness","SDS011","1","7971","2269287582","5.03","4830276464","P1"
"","","","","","","","","","","","","","4.50","4830276465","P2"
"null","2018-11-09 13:47:56","49.7580","240.6","LU","6.1200","4031","9","various","DHT22","7","7972","2269287651","99.90","4830276608","humidity"
"","","","","","","","","","","","","","14.20","4830276607","temperature"
