"sensordatavalues__id","sensordatavalues__value_type","sensordatavalues__value","timestamp","sampling_rate","id","location__longitude","location__latitude","location__id","location__country","location__altitude","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__sensor_type__id","sensor__id","sensor__pin"
"4885521672","temperature","12.9","","","","","","","","","","","","",""
"","pressure_at_sealevel","0","","","","","","","","","","","","",""
"4885522370","P1","3.27","2018-11-13 12:42:14","null","2295563718","6.1200","49.7580","4031","LU","240.6","Nova Fitness","SDS011","14","7971","1"
"4885522372","P2","1.07","","","","","","","","","","","","",""
"4885522446","humidity","99.90","2018-11-13 12:42:15","null","2295563755","6.1200","49.7580","4031","LU","240.6","various","DHT22","9","7972","7"
"4885522445","temperature","15.20","","","","","","","","","","","","",""
"4885522606","P1","3.90","2018-11-13 12:42:16","null","2295563832","6.3620","49.5860","6063","LU","175.8","Nova Fitness","SDS011","14","12008","1"
"4885522608","P2","1.50","","","","","","","","","","","","",""
"4885522691","humidity","99.90","2018-11-13 12:42:17","null","2295563872","6.3620","49.5860","6063","LU","175.8","various","DHT22","9","12009","7"
"4885522690","temperature","15.80","","","","","","","","","","","","",""
"4885522986","P1","4.07","2018-11-13 12:42:20","null","2295564015","6.0600","49.5700","6414","LU","328.9","Nova Fitness","SDS011","14","12699","1"
"4885522987","P2","1.30","","","","","","","","","","","","",""
"4885523036","humidity","99.90","2018-11-13 12:42:20","null","2295564039","6.0600","49.5700","6414","LU","328.9","various","DHT22","9","12700","7"
"4885523035","temperature","12.20","","","","","","","","","","","","",""
"4885523066","P1","2.58","2018-11-13 12:42:20","null","2295564054","6.1140","49.7420","6444","LU","225.5","Nova Fitness","SDS011","14","12760","1"
"4885523067","P2","2.10","","","","","","","","","","","","",""
"4885523100","humidity","99.90","2018-11-13 12:42:21","null","2295564070","6.1140","49.7420","6444","LU","225.5","various","DHT22","9","12761","7"
"4885523099","temperature","12.50","","","","","","","","","","","","",""
"4885530503","P1","3.77","2018-11-13 12:42:57","null","2295567589","6.1200","49.7580","6523","LU","241.1","Nova Fitness","SDS011","14","12910","1"
"4885530505","P2","1.37","","","","","","","","","","","","",""
"4885530554","humidity","99.90","2018-11-13 12:42:57","null","2295567613","6.1200","49.7580","6523","LU","241.1","various","DHT22","9","12911","7"
"4885530553","temperature","13.30","","","","","","","","","","","","",""
"4885530903","P1","5.67","2018-11-13 12:42:59","null","2295567778","6.1160","49.6020","5461","LU","272.2","Nova Fitness","SDS011","14","10817","1"
"4885530904","P2","1.60","","","","","","","","","","","","",""
"4885531032","humidity","93.20","2018-11-13 12:43:00","null","2295567839","6.1160","49.6020","5461","LU","272.2","various","DHT22","9","10818","7"
"4885531031","temperature","13.60","","","","","","","","","","","","",""
"4885532053","P1","3.53","2018-11-13 12:43:07","null","2295568325","6.1400","49.5920","4740","LU","287.7","Nova Fitness","SDS011","14","9400","1"
"4885532055","P2","1.60","","","","","","","","","","","","",""
"4885532876","P1","3.77","2018-11-13 12:43:12","null","2295568720","6.1060","49.7540","6427","LU","244.1","Nova Fitness","SDS011","14","12725","1"
"4885532877","P2","1.50","","","","","","","","","","","","",""
"4885532924","humidity","70.50","2018-11-13 12:43:13","null","2295568743","6.1060","49.7540","6427","LU","244.1","various","DHT22","9","12726","7"
"4885532923","temperature","14.70","","","","","","","","","","","","",""
"4885534197","P1","3.37","2018-11-13 12:43:21","null","2295569351","6.0040","49.8260","7208","LU","361.3","Nova Fitness","SDS011","14","14247","1"
"4885534198","P2","1.30","","","","","","","","","","","","",""
"4885534293","humidity","99.90","2018-11-13 12:43:21","null","2295569396","6.0040","49.8260","7208","LU","361.3","various","DHT22","9","14248","7"
"4885534292","temperature","10.90","","","","","","","","","","","","",""
"4885536801","P1","2.58","2018-11-13 12:43:38","null","2295570580","6.1140","49.8580","8468","LU","201.1","Nova Fitness","SDS011","14","16703","1"
"4885536802","P2","1.10","","","","","","","","","","","","",""
"4885539714","P1","5.37","2018-11-13 12:43:55","null","2295571968","6.4180","49.8100","6121","LU","165.9","Nova Fitness","SDS011","14","12114","1"
"4885539715","P2","2.03","","","","","","","","","","","","",""
"4885539814","humidity","99.90","2018-11-13 12:43:56","null","2295572016","6.4180","49.8100","6121","LU","165.9","various","DHT22","9","12115","7"
"4885539813","temperature","15.40","","","","","","","","","","","","",""
